TrialType,Condition,Modality,StairCond,Decision,DecisionRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,DecisionProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger
psi,Less,Extero,psi,Less,3.3924266999820247,16,2.271723400015617,-0.5,88.5,88.0,True,True,True,0,22.80555049642993,12.549456998218945,1677835460.9075096,1677835467.8005795,1677835471.730849,1677835471.847541,1677835474.629307,1677835475.2755852
psi,Less,Intero,psi,Less,2.3926485999836586,77,3.5065623999980744,-0.5,58.5,58.0,True,True,True,1,22.80555049642993,12.549456998218945,1677835475.9190197,1677835481.6090226,1677835484.5432906,1677835484.6609826,1677835488.942545,1677835489.966812
psi,More,Extero,psi,More,1.4624728000198957,98,3.015223900001729,22.5,91.5,114.0,True,True,True,2,10.00188229620635,12.884901925252942,1677835490.5761938,1677835497.4849691,1677835499.4888358,1677835499.6215076,1677835503.1547472,1677835504.0937624
psi,More,Intero,psi,Less,2.7415164000121877,54,4.231505700008711,22.5,53.5,76.0,False,True,True,3,34.412541779964776,12.245363961495718,1677835504.6902635,1677835510.3740282,1677835513.6521742,1677835513.7828205,1677835518.5519762,1677835519.8629103
psi,More,Intero,psi,More,2.870953500008909,74,2.4360495999862906,34.5,57.0,91.5,True,True,True,4,27.7804852452888,12.799681620802748,1677835520.4806361,1677835526.1789494,1677835529.5970676,1677835529.754649,1677835532.7128808,1677835533.570626
psi,More,Intero,psi,Less,3.7043290000001434,44,2.5444396999955643,27.5,57.0,84.5,False,True,True,5,33.04441342225713,12.471875633046428,1677835534.1786525,1677835539.945011,1677835544.1925418,1677835544.3581023,1677835547.4420016,1677835548.3879828
psi,More,Intero,psi,More,2.0155152000079397,72,2.557106299995212,35.5,61.0,96.5,True,True,True,6,30.027284430327917,11.272306152215645,1677835549.092907,1677835554.8173409,1677835557.3723853,1677835557.5235019,1677835560.621411,1677835561.6212351
psi,More,Intero,psi,Less,3.026447099982761,63,2.164642299991101,30.5,52.5,83.0,False,True,True,7,33.27056208416344,11.111168281183552,1677835562.2760081,1677835568.018229,1677835571.5877175,1677835571.8011506,1677835574.483342,1677835575.4192743
psi,More,Intero,psi,More,2.457663099979982,63,4.771786699973745,36.5,63.5,100.0,True,True,True,8,31.515745796652933,9.555249111202532,1677835576.0806746,1677835581.801631,1677835584.7971954,1677835584.9867063,1677835590.3123324,1677835592.273644
psi,More,Extero,psi,More,2.1198703999980353,75,2.7220262000046205,10.5,99.0,109.5,True,True,True,9,0.99838414946872,13.044743812284148,1677835592.942185,1677835600.5159543,1677835603.1747541,1677835603.3722546,1677835606.6237562,1677835607.887541
psi,More,Intero,psi,More,3.368302999995649,55,4.734330899984343,28.5,57.0,85.5,True,True,True,10,28.313292885633846,12.902866918692274,1677835608.556166,1677835614.311443,1677835618.2195444,1677835618.4376645,1677835623.6853206,1677835625.7271967
psi,Less,Extero,psi,Less,2.7533856999943964,65,2.6451757000177167,-1.5,57.5,56.0,True,True,True,11,6.888851480607057,11.54155803363549,1677835626.4526434,1677835634.387978,1677835637.6807818,1677835637.871275,1677835641.0300665,1677835642.3315425
psi,More,Intero,psi,More,2.1142313000163995,65,3.7400545999989845,21.5,57.0,78.5,True,True,True,12,24.292888692655747,16.024944607188765,1677835643.0221438,1677835648.8054357,1677835651.460631,1677835651.6740587,1677835655.9593198,1677835657.9381323
psi,More,Extero,psi,More,2.8184574999904726,63,3.032475699990755,6.5,70.0,76.5,True,True,True,13,2.356667538638417,11.0930110898098,1677835658.6317997,1677835666.7660875,1677835670.1211662,1677835670.3385882,1677835673.886469,1677835675.5605452
psi,More,Intero,psi,Less,3.9539313999994192,47,3.340494000003673,15.5,56.0,71.5,False,True,True,14,25.99536976747427,15.24366454550268,1677835676.3180752,1677835682.1397057,1677835686.6329706,1677835686.901254,1677835690.7815099,1677835692.7891119
psi,More,Intero,psi,More,4.223277000011876,15,3.126175899989903,16.5,56.0,72.5,True,True,True,15,22.41664435602803,17.25820485881499,1677835693.5252492,1677835699.354535,1677835704.1288269,1677835704.35392,1677835708.0153642,1677835709.9273298
psi,More,Extero,psi,More,2.8907986999838613,55,3.0505010999913793,2.5,89.5,92.0,True,True,True,16,-1.3942565809856644,11.815977224129394,1677835710.8174608,1677835720.595747,1677835724.048189,1677835724.4401433,1677835728.053953,1677835730.0497797
